name,diameter,center_lon,center_lat,type,code
Bunsen B,21.486700000000000,271.970358983653000,44.109237998046500,Satellite Feature,SF
Buys-Ballot H,24.033100000000000,179.606614713883000,19.526806163951600,Satellite Feature,SF
Byrgius S,45.935700000000000,298.225999341768000,-26.062239065465400,Satellite Feature,SF
Calippus A,15.716600000000000,7.870557194040880,37.059990641046700,Satellite Feature,SF
Calippus C,37.694700000000000,9.157298200100020,39.434584666300900,Satellite Feature,SF
Cannon E,25.867100000000000,78.994323833341400,19.267361634693200,Satellite Feature,SF
Capuanus P,68.518600000000000,331.408306730812000,-35.443219468508800,Satellite Feature,SF
Cassini A,16.756900000000000,4.775646384052550,40.513805173035100,Satellite Feature,SF
Cassini W,5.462210000000000,4.254066547042400,42.348166307172800,Satellite Feature,SF
Clairaut F,31.181500000000000,14.353564674509400,-45.777527611463700,Satellite Feature,SF
Condorcet E,8.030690000000000,68.163759082213500,11.349866984635900,Satellite Feature,SF
Daguerre K,5.435180000000000,35.782866877528700,-12.245300590836800,Satellite Feature,SF
de Gasparis A,38.408100000000000,308.626917974059000,-26.737491943117600,Satellite Feature,SF
De Vico A,34.082000000000000,296.383583303647000,-18.748698403052000,Satellite Feature,SF
Delambre F,4.245280000000000,19.247682673736800,-1.062764790023880,Satellite Feature,SF
Douglass X,24.186100000000000,235.913239749057000,38.053345206511300,Satellite Feature,SF
Drebbel P,4.876770000000000,308.065420620003000,-39.723770322276100,Satellite Feature,SF
Dubyago X,8.408760000000000,73.030803984199900,6.497452702936220,Satellite Feature,SF
Egede E,3.615030000000000,10.432230840463100,49.737504606348400,Satellite Feature,SF
Evershed S,47.238800000000000,197.161684218799000,34.503904541818700,Satellite Feature,SF
Eratosthenes Z,0.571071000000000,345.900384700239000,13.749204245701500,Satellite Feature,SF
Flammarion Y,2.301200000000000,356.808485557400000,-3.732964179435700,Satellite Feature,SF
Flamsteed X,2.824690000000000,312.600265002897000,-2.297581835722040,Satellite Feature,SF
Foster H,27.373800000000000,220.424582408191000,23.017878482436800,Satellite Feature,SF
Fourier K,13.141300000000000,305.648178567515000,-30.038852662610300,Satellite Feature,SF
Hevelius E,8.808090000000000,294.217598198691000,2.958223044350540,Satellite Feature,SF
Fracastorius W,6.646210000000000,35.686627580440400,-22.695172195306000,Satellite Feature,SF
Franklin H,5.151610000000000,43.744715942291900,37.120187984524200,Satellite Feature,SF
Fraunhofer A,29.172000000000000,61.610225775252800,-39.580608250500900,Satellite Feature,SF
Gauss A,20.704000000000000,82.767115140973100,36.538287726295100,Satellite Feature,SF
Furnerius V,59.180700000000000,65.499016904792400,-35.715113275363700,Satellite Feature,SF
Furnerius F,52.055500000000000,64.121924335270600,-36.100387468298700,Satellite Feature,SF
Galilaei G,0.808777000000000,292.744146874389000,12.652527899250200,Satellite Feature,SF
Galilaei S,2.721590000000000,295.228910185087000,15.461852003316300,Satellite Feature,SF
Ganskiy (Hansky) F,8.875580000000000,98.988247051192400,-9.658037660361470,Satellite Feature,SF
Gassendi L,5.320240000000000,318.213138306563000,-20.392825508627600,Satellite Feature,SF
Hermann L,2.813670000000000,300.770609367371000,2.435338358457670,Satellite Feature,SF
Gaudibert C,8.039940000000000,37.797914944094600,-11.568981530001000,Satellite Feature,SF
Gay-Lussac H,5.011260000000000,336.669085834381000,13.411959797951800,Satellite Feature,SF
Geminus G,14.837000000000000,48.574653848468100,30.796865102632800,Satellite Feature,SF
Gerard Q Outer,192.481000000000000,275.452906928610000,46.512222229940300,Satellite Feature,SF
Guericke J,6.993290000000000,346.574883973478000,-10.618619046350100,Satellite Feature,SF
Halley K,4.450100000000000,5.818406054320830,-8.567852482894790,Satellite Feature,SF
Hercules E,9.984230000000000,38.699574342032400,45.799392834285800,Satellite Feature,SF
Hell Q,3.749170000000000,355.531216313237000,-32.996571023066500,Satellite Feature,SF
Herigonius G,3.166770000000000,327.541684039329000,-15.274198158781800,Satellite Feature,SF
Herodotus E,36.550500000000000,308.476050417408000,29.349275712907200,Satellite Feature,SF
Herodotus N,4.324500000000000,309.883608909515000,23.644510562857300,Satellite Feature,SF
Jules Verne Y,22.016000000000000,146.359484985951000,-31.446397514682500,Satellite Feature,SF
Herschel J,4.847280000000000,355.718710487666000,-6.421687805901740,Satellite Feature,SF
Horrebow G,7.065560000000000,318.158785507058000,59.822388753348400,Satellite Feature,SF
Isidorus V,3.854540000000000,30.814812084297000,-8.884388979579740,Satellite Feature,SF
Hyginus B,4.846770000000000,5.071271749518050,7.608864723550110,Satellite Feature,SF
Lacroix E,20.334400000000000,296.972872214465000,-39.974541302038800,Satellite Feature,SF
Hyginus F,3.808820000000000,8.606254169997450,7.990526038774060,Satellite Feature,SF
Hyginus H,3.424950000000000,7.009931291981920,5.942483089878650,Satellite Feature,SF
Ingalls Z,25.845900000000000,206.525931135392000,30.092892051277000,Satellite Feature,SF
Janssen R,22.900800000000000,38.700046611264800,-48.280050432289700,Satellite Feature,SF
Jacobi Q,3.924200000000000,14.026124766294500,-55.847845266611500,Satellite Feature,SF
Jansen G,5.565230000000000,26.020184603856200,9.300743603645520,Satellite Feature,SF
Jansky D,23.024600000000000,91.253308369247200,9.556362683047140,Satellite Feature,SF
Lacroix R,19.148300000000000,299.779895685582000,-34.435106605293300,Satellite Feature,SF
Janssen Q,4.944680000000000,39.364244154017500,-46.349515871154300,Satellite Feature,SF
Kant N,9.052270000000000,19.714790064529300,-9.914911857661850,Satellite Feature,SF
Rheita E,67.722400000000000,48.917143755227900,-34.239652930632200,Satellite Feature,SF
Kapteyn Z,6.652030000000000,72.564177471326100,-11.205917104082500,Satellite Feature,SF
Kästner G,95.664400000000000,79.347148380233700,-3.677363267533370,Satellite Feature,SF
Kelvin A,7.360150000000000,328.426110333626000,-27.486803338111800,Satellite Feature,SF
Rocca Q,58.509300000000000,290.861555156000000,-15.292830683226900,Satellite Feature,SF
Kirch F,4.059790000000000,353.951998619462000,38.005059290929500,Satellite Feature,SF
Kinau P,4.952790000000000,17.360242753490000,-61.424378066688700,Satellite Feature,SF
Krusenstern A,4.892520000000000,5.801383289745710,-26.978599972317400,Satellite Feature,SF
Kugler U,35.395900000000000,101.739439251754000,-53.591110384906600,Satellite Feature,SF
Lacroix G,48.768600000000000,300.750828416122000,-36.616358544277800,Satellite Feature,SF
Lacroix J,20.126400000000000,300.573462302186000,-38.373335868017300,Satellite Feature,SF
Lade X,2.935740000000000,11.037982565713400,-1.717423015794280,Satellite Feature,SF
Lansberg B,8.999090000000000,331.860593942415000,-2.493900357870590,Satellite Feature,SF
Lansberg L,4.102740000000000,333.593693005847000,-3.555930625415100,Satellite Feature,SF
Lavoisier A,28.514900000000000,286.736089038292000,36.972610989089300,Satellite Feature,SF
Lavoisier L,6.419670000000000,285.024192348395000,39.736351797084700,Satellite Feature,SF
Lichtenberg H,4.182700000000000,301.097228333532000,31.515808628548000,Satellite Feature,SF
Lick G,4.778710000000000,50.920585970460900,10.073888592496400,Satellite Feature,SF
Lippershey T,4.934730000000000,348.867452922808000,-25.301340989352600,Satellite Feature,SF
Longomontanus E,6.166570000000000,341.893912147838000,-51.346098806752300,Satellite Feature,SF
Lubbock M,22.156700000000000,38.692778158403400,-0.405094167940376,Satellite Feature,SF
Maskelyne J,3.687960000000000,32.629022806865600,3.135141551070250,Satellite Feature,SF
Lyell C,4.146010000000000,39.391091446221200,15.141860694322700,Satellite Feature,SF
Maclear A,4.110690000000000,18.002036967293500,11.304176472700600,Satellite Feature,SF
Seeliger T,3.321020000000000,4.306962466587560,-2.202983992540190,Satellite Feature,SF
Maginus Q,9.238110000000000,357.672638255508000,-50.851710199675800,Satellite Feature,SF
Marco Polo G,4.423090000000000,358.065318783064000,16.720461896464400,Satellite Feature,SF
Marius J,2.983010000000000,313.093813597424000,10.451259909898700,Satellite Feature,SF
Marius Y,2.524750000000000,309.226186440731000,9.779871183511090,Satellite Feature,SF
Marth K,3.021960000000000,331.227643920591000,-29.960917682857700,Satellite Feature,SF
Maskelyne B,8.344780000000000,28.964683025993000,1.970193117266930,Satellite Feature,SF
Maskelyne G,5.845130000000000,26.697198795670600,2.298794812971730,Satellite Feature,SF
Maupertuis B,6.074890000000000,333.200134437476000,51.371455439205400,Satellite Feature,SF
Maurolycus P,3.935900000000000,12.694041885629900,-38.127344133635200,Satellite Feature,SF
Maury K,5.202250000000000,41.070006541281000,39.473818014761300,Satellite Feature,SF
Mercator E,5.327240000000000,333.147308077579000,-30.102463320503000,Satellite Feature,SF
Mercurius D,69.478400000000000,69.002115423947000,46.129599940413300,Satellite Feature,SF
Short B,89.839100000000000,354.827628845790000,-75.892609040501500,Satellite Feature,SF
Milichius A,8.228400000000000,327.933516570762000,9.254415346155330,Satellite Feature,SF
Miller E,5.869300000000000,2.754059229439110,-38.927247745730400,Satellite Feature,SF
Mösting L,3.017030000000000,356.568871461523000,-0.689884219582690,Satellite Feature,SF
Mutus J,7.152030000000000,23.289881776908800,-62.811745960393200,Satellite Feature,SF
Neander M,8.602760000000000,37.662051227958900,-34.851617190410400,Satellite Feature,SF
Nearch M,7.509390000000000,35.146468207062200,-58.612074427114300,Satellite Feature,SF
Lev,0.060000000000000,62.200744628906000,12.690582275391000,"Crater, craters",AA
Nonius F,6.989430000000000,3.735721915494220,-35.927230979155800,Satellite Feature,SF
Opelt E,7.384910000000000,342.090119097847000,-17.042775878177200,Satellite Feature,SF
Orontius B,8.746480000000000,356.837438924277000,-39.964702241587100,Satellite Feature,SF
Parry L,6.318720000000000,345.301410171694000,-6.316897904063090,Satellite Feature,SF
Piazzi C,28.040100000000000,297.247423696261000,-37.153538115636600,Satellite Feature,SF
Piazzi Smyth W,3.004640000000000,358.135448103632000,42.250764497969100,Satellite Feature,SF
Pickering C,3.321350000000000,6.152647703562320,-1.541541323098200,Satellite Feature,SF
Plinius A,3.454420000000000,24.168058381353700,12.986718660207800,Satellite Feature,SF
Pons N,5.755190000000000,22.920506540499400,-25.952343479235700,Satellite Feature,SF
Ptolemaeus L,3.175940000000000,355.988837400028000,-8.848933922405150,Satellite Feature,SF
Ptolemaeus Y,5.970730000000000,0.703755658870974,-9.366224471312900,Satellite Feature,SF
Puiseux B,3.374590000000000,321.025458306761000,-25.704071546154100,Satellite Feature,SF
Pytheas F,3.899200000000000,340.857463407490000,16.550291455754900,Satellite Feature,SF
Rabbi Levi N,8.855880000000000,23.587213262405300,-36.511824484918400,Satellite Feature,SF
Réaumur C,4.269110000000000,0.205950691420255,-3.496432484307670,Satellite Feature,SF
Šafařík A,21.238600000000000,176.975636204962000,12.502588748380200,Satellite Feature,SF
Reiner M,2.996720000000000,303.753684743323000,8.622333606062090,Satellite Feature,SF
Reiner S,3.385830000000000,309.163669058455000,2.259670768449030,Satellite Feature,SF
Rocca M,44.134200000000000,289.113490234890000,-14.570017383558600,Satellite Feature,SF
Römer W,6.068650000000000,40.410842576152600,26.439452904695200,Satellite Feature,SF
Saunder T,4.911150000000000,10.388880632124300,-4.069738272745300,Satellite Feature,SF
Rümker E,6.789880000000000,302.861143671044000,38.637742090843300,Satellite Feature,SF
Sabine C,2.835790000000000,22.922153685418300,1.021894157582600,Satellite Feature,SF
Santbech D,7.437420000000000,45.136402108830300,-21.139967299171400,Satellite Feature,SF
Santbech K,9.293860000000000,43.119059404579600,-19.225741442712600,Satellite Feature,SF
Santbech V,6.810130000000000,39.330435527527100,-24.678894308727300,Satellite Feature,SF
