name,diameter,center_lon,center_lat
Santbech V,6.81,39.33,-24.67
Saunder S,3.16,9.74,-2.37
Saussure B,3.95,355.98,-42.26
Scheiner S,6.77,334.66,-58.38
Schickard L,8.58,300.19,-44.12
Secchi K,6.00,45.50,-0.17
Wessex Cleft,3.49,30.89,20.34
Plaskett,114.34,176.71,81.63
Tacitus M,5.84,21.47,-13.96
Rozhdestvenskiy,181.15,202.10,84.99
Von Kármán,186.34,176.24,-44.45
Sharp-Apollo,0.01,336.56,-3.02
Webb N,5.86,63.62,-0.32
W. Bond,170.53,3.51,65.40
Catena Brigitte,7.65,27.49,18.49
Middle Crescent,0.36,336.56,-3.00
Surveyor,0.20,336.57,-3.00
Triplet,0.32,342.53,-3.64
Cone,0.33,342.56,-3.62
Dorsum Oppel,297.61,52.08,19.31
Dorsum Owen,33.46,11.09,25.13
Dorsum Scilla,107.52,300.00,32.34
Rima Agatharchides,54.25,331.43,-20.37
Dorsa Smirnov,221.78,25.52,26.40
Dorsum Thera,7.24,328.57,24.40
Montes Jura,420.79,323.88,47.49
Montes Secchi,52.46,43.17,2.71
Planitia Descensus,0,295.84,7.18
Rima Archytas,90.18,2.99,53.62
Vallis Rheita,509.07,51.65,-42.51
Dorsa Sorby,76.02,13.69,18.64
Vallis Schrödinger,301.71,104.88,-66.51
Dorsa Stille,66.32,341.14,26.90
Dorsum Buckland,369.12,14.29,19.43
Rima Réaumur,30.66,2.46,-2.83
Dorsum Cushman,85.65,49.19,1.41
Dorsum Gast,64.86,8.70,24.37
Dorsa Tetyaev,187.52,64.06,20.02
Dorsum Cayeux,95.13,51.22,0.76
Dorsum Cloos,103.08,90.40,1.14
Rima Carmen,15.01,29.29,19.95
Dorsum Heim,146.78,330.16,32.19
Dorsum Higazy,63.09,342.53,27.93
Rima Ariadaeus,247.44,13.43,6.47
Rima Billy,69.82,311.95,-14.74
Rima Messier,74.21,44.54,-0.75
Rima Zahia,15.24,329.54,25.02
Vallis Alpes,155.41,3.63,49.20
Vallis Baade,206.78,282.77,-45.55
Vallis Bohr,95.32,271.13,10.24
Vallis Bouvard,287.92,277.67,-38.44
Vallis Capella,106.28,35.03,-7.39
Vallis Inghirami,145.08,287.41,-43.94
Vallis Palitzsch,110.49,64.63,-26.16
Vallis Planck,502.89,126.15,-57.26
Dorsum Bucher,84.65,320.44,30.76
Dorsa Barlow,112.57,30.56,14.04
Catena Sylvester,139,276.88,79.98
Mons Agnes,0,5.34,18.66
Catena Abulfeda,209.97,16.70,-16.59
Catena Artamonov,131.21,105.77,26.09
Rima Birt,54.18,350.71,-21.40
Tisserand A,24.53,49.47,20.35
Catena Davy,52.33,353.73,-10.98
Catena Dziewulski,80.65,100.26,18.77
Catena Gregory,148.15,129.80,-0.59
Catena Humboldt,162.28,84.69,-21.98
Catena Krafft,55.10,287.74,14.91
Catena Kurchatov,234.91,136.60,37.24
Catena Leuschner (GDL),200.05,248.69,5.07
Catena Littrow,10.29,29.61,22.23
Catena Lucretius (RNII),232.06,233.55,-4.02
Catena Mendeleev,125.22,139.21,6.63
Catena Michelson (GIRD),450.59,246.41,-0.44
Catena Pierre,9.43,328.14,19.76
Catena Taruntius,69.23,48.70,3.04
Catena Timocharis,48.36,346.79,29.09
Catena Yuri,4.51,329.61,24.40
Vallis Christel,2.10,11.08,24.54
Dorsum Arduino,99.73,323.73,24.77
Dorsum Azara,103.19,19.16,26.86
Tisserand B,8.71,51.37,20.64
Tisserand D,5.66,49.46,21.75
Dorsa Dana,82.31,89.59,2.26
Dorsum Nicol,43.74,22.66,18.32
Ryder,15.54,143.29,-43.87
Abel,137.34,85.77,-34.62
Bi Sheng,55.27,148.45,78.34
Dorsa Ewing,261.56,321.68,-11.06
Dorsum Niggli,47.75,307.72,29.00
Abbot,10.40,54.74,5.55
Abenezra,43.18,11.89,-20.99
Cai Lun,44.89,113.66,80.11
Abetti,1.59,27.81,20.11
Zhang Yuzhe,38.00,222.17,-69.06
Abbe,63.97,174.77,-57.57
Abul Wáfa,54.17,116.63,0.96
Hanno K,25.32,76.74,-53.61
Dorsa Geikie,218.35,52.82,-4.20
Vening Meinesz T,15.63,159.23,-0.29
Maginus P,10.47,348.18,-50.69
Malyy G,29.21,107.10,21.71
Sechenov C,17.27,218.28,-5.14
Sharp M,4.74,318.54,47.38
Stöfler N,14.19,6.60,-41.90
Sechenov P,21.08,215.80,-9.74
Segers H,30.24,128.92,46.53
Ptolemaeus G,9.41,0.02,-7.14
Sharp U,6.32,311.31,47.40
Ptolemaeus T,6.55,359.98,-7.48
Sharp V,6.64,312.94,46.23
Shayn B,35.72,173.48,34.47
Taruntius H,8.58,49.87,0.32
Shayn F,36.88,175.39,32.97
South D,6.16,310.87,55.27
South E,8.11,306.99,56.69
South F,6.51,305.90,57.12
South H,5.51,311.81,57.25
South M,5.71,308.98,55.31
Spallanzani A,6.65,25.61,-46.31
Spallanzani D,6.28,28.57,-46.18
Stöfler O,9.16,1.19,-43.36
Struve G,14.27,285.99,23.89
Rima Gärtner,42.72,35.76,58.84
Struve H,21.16,276.64,25.18
Street R,4.90,345.38,-49.16
Street M,48.19,345.42,-47.81
Taruntius L,14.26,44.52,5.45
Wilhelm C,15.49,340.38,-41.60
Tisserand K,12.99,50.33,19.74
Vening Meinesz Q,16.24,161.02,-2.51
Titius J,20.19,101.59,-27.51
Taruntius K,5.65,51.57,0.64
Taruntius O,5.99,54.33,2.22
Taruntius P,6.77,51.58,0.06
Vening Meinesz C,39.99,163.83,1.17
Vening Meinesz W,36.86,161.01,1.40
Dorsum Zirkel,195.21,335.18,29.54
Purbach F,8.88,359.96,-24.59
Purbach Q,4.02,359.95,-25.92
Regiomontanus K,5.89,359.95,-30.26
Dorsum Grabau,123.68,345.80,29.75
Dorsa Argand,91.93,319.66,28.29
Dorsum Guettard,40.45,341.73,-9.91
Dorsa Aldrovandi,126.80,28.65,23.60
Vallis Schröteri,185.32,308.41,26.15
Vallis Snellius,640,57.83,-30.92
Rimae Hase,257.23,67.78,-34.70
Dorsum Termier,89.64,57.15,11.62
Dorsum Von Cotta,183.05,11.95,23.59
Rimae Arzachel,57,358.61,-18.30
Alfraganus,20.52,18.97,-5.42
Rima Rudolf,8.28,29.62,19.70
