name,diameter,center_lon,center_lat
Bigbee,20.85,325.24,-24.77
Bira,2.70,314.45,25.09
Bise,9.20,303.16,20.22
Bison,15.27,330.85,-26.30
Bjerknes,88.63,171.48,-43.01
Bland,6.62,108.75,18.29
Bled,7.69,328.54,21.58
Blitta,12.95,339.04,-25.89
Blois,11.58,304.15,23.59
Bluff,6.74,110.02,23.46
Boeddicker,107.11,162.48,-14.82
Bogra,21.30,331.19,-24.16
Bok,7.33,328.39,20.57
Bole,8.53,306.00,25.35
Bombala,37.14,106.13,-27.60
Bor,4.27,326.31,18.16
Bond,104.69,324.06,-32.79
Bonestell,40.67,329.60,41.99
Bordeaux,2.00,311.10,23.13
Boru,10.87,332.12,-24.34
Turbi,30.58,308.54,-40.62
Bouguer,107.78,27.26,-18.46
Boulia,9.99,111.31,-22.88
Bozkir,79.89,327.82,-44.13
Brashear,77.44,240.97,-53.81
Bremerhaven,2.68,311.35,23.69
Briault,93.05,89.68,-9.97
Bridgetown,1.57,312.92,21.89
Bristol,2.99,313.06,22.09
Broach,11.30,303.10,23.51
Bronkhorst,17.74,304.79,-10.70
Brush,6.48,111.33,21.70
Bulhar,18.23,134.51,50.35
Bunge,70.83,311.40,-33.81
Burroughs,112.68,117.09,-72.28
Burton,119.26,203.66,-13.88
Buta,11.27,327.58,-23.24
Butte,12.54,321.08,-5.08
Byrd,123.27,127.83,-65.22
Byske,12.56,326.04,-4.97
Cairns,8.73,312.54,23.56
Calahorra,34.22,321.34,26.45
Calamar,7.21,305.12,18.27
Calbe,13.14,331.12,-25.13
Camargo,4.77,109.64,17.69
Camiling,21.91,322.00,-0.71
Camiri,31.36,317.82,-44.65
Campbell,125.26,165.58,-54.25
Campos,8.24,332.18,-21.79
Can,8.61,345.41,48.20
Canberra,3.09,132.66,47.20
Cangwu,13.63,270.40,41.84
Canso,26.41,299.37,21.36
Cartago,36.57,342.02,-23.25
Cassini,408.23,32.11,23.35
Castril,2.19,175.30,-14.69
Cave,8.19,324.36,21.61
Caxias,25.88,259.31,-28.95
Cañas,41.52,89.85,-31.18
Cerulli,114.28,22.11,32.20
